oid,x,y,AREA,PERIMETER,ESRI_NUM,ESRI_ID,AREA1,PERIMETER1,CNTYPT_,CNTYPT_ID,GEOGLOBE_P,PINYIN,CLASS,ID,PN,ADCODE93
2041,108.27629,23.166767,0,0,0,0,0,0,0,0,武鸣县,Wuming Xian,AI,0,0,0
2042,112.88607,23.165869,0,0,0,0,0,0,0,0,三水县,Sanshui Xian,AI,0,0,0
2043,99.245209,23.15312,0,0,0,0,0,0,0,0,沧源佤族自治县,Cangyuan Vazu Zizhixian,AI,8,0,0
2044,111.77102,23.146791,0,0,0,0,0,0,0,0,德庆县,Deqing Xian,AI,0,0,0
2045,106.41589,23.142054,0,0,0,0,0,0,0,0,靖西县,Jingxi Xian,AI,0,0,0
2046,104.69151,23.122219,0,0,0,0,0,0,0,0,麻栗坡县,Malipo Xian,AI,0,0,0
2047,109.60844,23.099092,0,0,0,0,0,0,0,0,贵港市,Guigang Shi,AH,0,0,0
2048,107.1324,23.084743,0,0,0,0,0,0,0,0,天等县,Tiandeng Xian,AI,0,0,0
2049,101.03731,23.066851,0,0,0,0,0,0,0,0,普洱哈尼族彝族自治县,Pu'er Hanizu Yizu Zizhixian,AI,0,0,0
2050,112.45316,23.056921,0,0,0,0,0,0,0,0,高要县,Gaoyao Xian,AI,0,0,0
2051,116.28851,23.039129,0,0,0,0,0,0,0,0,惠来县,Huilai Xian,AI,0,0,0
2052,104.38785,23.012882,0,0,0,0,0,0,0,0,马关县,Maguan Xian,AI,0,0,0
2053,102.40181,23.000284,0,0,0,0,0,0,0,0,绿春县,Luchun Xian,AI,0,0,3
2054,114.71233,22.98782,0,0,0,0,0,0,0,0,惠东县,Huidong Xian,AI,0,0,0
2055,103.67921,22.986122,0,0,0,0,0,0,0,0,屏边苗族自治县,Pingbian Miaozu Zizhixian,AI,0,0,0
2056,110.34752,22.714184,0,0,0,0,0,0,1,0,北流县,Beiliu Xian,AI,0,0,0
2057,112.22508,22.702915,0,0,0,0,0,0,2,0,新兴县,Xinxing Xian,AI,0,0,0
2058,109.26704,22.692957,0,0,0,0,0,0,3,0,横县,Heng Xian,AI,0,0,0
2059,120.48507,22.682482,0,0,0,0,0,0,4,0,屏东县,Pingtung Hsien,AI,0,0,0
2060,107.90538,22.643337,0,0,0,0,0,0,6,0,扶绥县,Fusui Xian,AI,0,0,0
2061,120.35958,22.631378,0,0,0,0,0,0,0,0,高雄县,Kaosiung Hsien,AI,0,0,0
2062,101.8624,22.592894,0,0,0,0,0,0,0,0,江城哈尼族彝族自治县,Jiangcheng Hanizu Yizu Zizhixian,AI,8,0,0
2063,113.87607,22.576672,0,0,0,0,0,0,0,0,宝安县,Bao'an Xian,AI,0,0,0
2064,99.929688,22.565054,0,0,0,0,0,0,0,0,澜沧拉祜族自治县,Lancang Lahuzu Zizhixian,AI,0,0,0
2065,113.0384,22.526581,0,0,0,0,0,0,0,0,新会县,Xinhui Xian,AI,0,0,0
2066,103.95923,22.518724,0,0,0,0,0,0,0,0,河口瑶族自治县,Hekou Yaozu Zizhixian,AI,0,0,4
2067,109.28741,22.434591,0,0,0,0,0,0,0,0,灵山县,Lingshan Xian,AI,0,0,0
2068,107.35506,22.420197,0,0,0,0,0,0,0,0,崇左县,Chongzuo Xian,AI,0,0,0
2069,112.69155,22.37538,0,0,0,0,0,0,0,0,开平县,Kaiping Xian,AI,0,0,0
2070,110.9388,22.363495,0,0,0,0,0,0,0,0,信宜县,Xinyi Xian,AI,0,0,0
2071,106.85036,22.351665,0,0,0,0,0,0,0,0,龙州县,Longzhou Xian,AI,0,0,0
2072,99.591957,22.34,0,0,0,0,0,0,0,0,孟连傣族拉祜族佤族自治县,Menglian Daizu Lahuzu Vazu Zizhixian,AI,0,0,0
2073,101.56248,21.490648,0,0,0,0,0,0,0,0,勐腊县,Mengla Xian,AI,0,0,0
2074,110.77861,21.44651,0,0,0,0,0,0,0,0,吴川县,Wuchuan Xian,AI,0,0,0
2075,110.25089,21.38298,0,0,0,0,0,0,0,0,遂溪县,Suixi Xian,AI,0,0,0
2076,110.08791,20.901958,0,0,0,0,0,0,0,0,海康县,Haikang Xian,AI,0,0,0
2077,110.16278,20.329676,0,0,0,0,0,0,0,0,徐闻县,Xuwen Xian,AI,0,0,0
2078,110.35794,20.008165,0,0,0,0,0,0,0,0,琼山县,Qiongshan Xian,AI,0,0,0
2079,109.68616,19.91807,0,0,0,0,0,0,0,0,临高县,Lingao Xian,AI,0,0,0
2080,110.01385,19.741013,0,0,0,0,0,0,0,0,澄迈县,Chengmai Xian,AI,0,0,0
2081,110.31812,19.702471,0,0,0,0,0,0,0,0,定安县,Ding'an Xian,AI,0,0,0
2082,110.7559,19.620953,0,0,0,0,0,0,0,0,文昌县,Wenchang Xian,AI,0,0,0
2083,109.5755,19.518486,0,0,0,0,0,0,0,0,儋县,Dan Xian,AI,0,0,0
2084,110.09362,19.364178,0,0,0,0,0,0,0,0,屯昌县,Tunchang Xian,AI,0,0,0
2085,109.04832,19.258587,0,0,0,0,0,0,0,0,昌江黎族自治县,Changjiang Lizu Zizhixian,AI,7,0,0
2086,110.46297,19.246944,0,0,0,0,0,0,0,0,琼海县,Qionghai Xian,AI,0,0,0
2087,109.44775,19.235895,0,0,0,0,0,0,0,0,白沙黎族自治县,Baisha Lizu Zizhixian,AI,0,0,0
2088,108.63303,19.097265,0,0,0,0,0,0,0,0,东方黎族自治县,Dongfang Lizu Zizhixian,AI,0,0,0
2089,109.84006,19.04796,0,0,0,0,0,0,0,0,琼中黎族苗族自治县,Qiongzhong Lizu Miaozu Zizhixian,AI,0,0,0
